District,Year,Season,Cultivated_Extent,Avg_Yield,Production,Season_Encoded,Production_per_Hectare,Prev_Production
NuwaraEliya,2006,Yala,1883,3120,3311,0,1.76,0
Badulla,2006,Yala,11298,4388,42141,0,3.73,0
Monaragala,2006,Yala,6579,4055,26148,0,3.98,0
Kilinochchi,2006,Yala,5235,3561,14180,0,2.71,0
Vavuniya,2006,Yala,710,4432,2970,0,4.18,0
Mullaitivu,2006,Yala,2617,3650,9012,0,3.44,0
Mannar,2006,Yala,48,4067,185,0,3.85,0
Anuradhapura,2006,Yala,21072,4560,77257,0,3.67,0
Polonnaruwa,2006,Yala,48501,4899,210183,0,4.33,0
Trincomalee,2006,Yala,10330,4415,42370,0,4.1,0
Batticaloa,2006,Yala,15226,3649,49031,0,3.22,0
Ampara,2006,Yala,55021,4884,256824,0,4.67,0
Hambantota,2006,Yala,16406,4470,64069,0,3.9,0
Colombo,2007,Maha,3767,3502,11212,1,2.98,8632
Gampaha,2007,Maha,9328,3495,27714,1,2.97,21551
Kalutara,2007,Maha,13476,2884,35847,1,2.66,33424
Galle,2007,Maha,14652,3190,36572,1,2.5,33088
Matara,2007,Maha,14842,3887,45546,1,3.07,37477
Ratnapura,2007,Maha,11906,3305,33449,1,2.81,31512
Kegalle,2007,Maha,7174,3749,25198,1,3.51,24223
Kurunegala,2007,Maha,75243,3838,288764,1,3.84,281367
Puttalam,2007,Maha,12050,3834,39269,1,3.26,39652
Kandy,2007,Maha,13453,3764,40040,1,2.98,35322
Matale,2007,Maha,18878,3559,60427,1,3.2,52813
NuwaraEliya,2007,Maha,5627,3929,12458,1,2.21,10390
Badulla,2007,Maha,25288,4094,88002,1,3.48,83899
Monaragala,2007,Maha,25415,3993,99446,1,3.91,92439
Jaffna,2007,Maha,7248,2887,18568,1,2.56,11886
Kilinochchi,2007,Maha,12456,2803,30979,1,2.49,42569
Vavuniya,2007,Maha,6402,3587,21663,1,3.38,16542
Mullaitivu,2007,Maha,5937,3430,19215,1,3.24,31575
Mannar,2007,Maha,2681,3640,9317,1,3.47,20130
Anuradhapura,2007,Maha,71520,4311,247941,1,3.47,218485
Polonnaruwa,2007,Maha,55240,4900,239437,1,4.33,228835
Trincomalee,2007,Maha,16592,4381,67534,1,4.07,63039
Batticaloa,2007,Maha,17030,3661,55020,1,3.23,37476
Ampara,2007,Maha,64435,4864,299533,1,4.65,244031
Hambantota,2007,Maha,24007,4762,99879,1,4.16,99677
Colombo,2007,Yala,878,3346,2498,0,2.84,983
Gampaha,2007,Yala,2395,3656,7441,0,3.11,2490
Kalutara,2007,Yala,7114,3060,20079,0,2.82,23316
Galle,2007,Yala,5840,3262,14908,0,2.55,10453
Matara,2007,Yala,13118,3712,38441,0,2.93,31996
Ratnapura,2007,Yala,7320,3970,24701,0,3.37,27142
Kegalle,2007,Yala,5049,3291,15566,0,3.08,16030
Kurunegala,2007,Yala,22780,3755,85542,0,3.76,121783
Puttalam,2007,Yala,5215,4145,18373,0,3.52,20378
Kandy,2007,Yala,8054,3903,24856,0,3.09,24313
Matale,2007,Yala,5526,4086,20304,0,3.67,23447
NuwaraEliya,2007,Yala,2066,3703,4310,0,2.09,3311
Badulla,2007,Yala,10705,4639,42214,0,3.94,42141
Monaragala,2007,Yala,8923,4377,38269,0,4.29,26148
Kilinochchi,2007,Yala,3526,3507,10974,0,3.11,14180
Vavuniya,2007,Yala,585,4446,2453,0,4.19,2970
Mullaitivu,2007,Yala,1839,3765,6532,0,3.55,9012
Mannar,2007,Yala,835,4224,3366,0,4.03,185
Anuradhapura,2007,Yala,14623,4804,56492,0,3.86,77257
Polonnaruwa,2007,Yala,49540,5057,221598,0,4.47,210183
Trincomalee,2007,Yala,10368,4376,42147,0,4.07,42370
Batticaloa,2007,Yala,2141,3680,6955,0,3.25,49031
Ampara,2007,Yala,53633,4993,255935,0,4.77,256824
Hambantota,2007,Yala,20771,4940,89652,0,4.32,64069
Colombo,2008,Maha,4506,3554,13605,1,3.02,11212
Gampaha,2008,Maha,10826,3353,30430,1,2.81,27714
Kalutara,2008,Maha,14684,3115,42055,1,2.86,35847
Galle,2008,Maha,15930,3032,37139,1,2.33,36572
Matara,2008,Maha,16171,3631,45251,1,2.8,45546
Ratnapura,2008,Maha,12995,3462,38149,1,2.94,33449
Kegalle,2008,Maha,8179,3721,28195,1,3.45,25198
Kurunegala,2008,Maha,77291,3940,302664,1,3.92,288764
Puttalam,2008,Maha,19680,3976,66038,1,3.36,39269
Kandy,2008,Maha,14071,3768,40208,1,2.86,40040
Matale,2008,Maha,19374,3759,64090,1,3.31,60427
NuwaraEliya,2008,Maha,5576,4145,13002,1,2.33,12458
Badulla,2008,Maha,27225,4484,76667,1,2.82,88002
Monaragala,2008,Maha,26529,4413,58892,1,2.22,99446
Jaffna,2008,Maha,8171,2506,16230,1,1.99,18568
Vavuniya,2008,Maha,6709,4689,29627,1,4.42,21663
Mannar,2008,Maha,5352,3670,18758,1,3.5,9317
Anuradhapura,2008,Maha,80724,4633,294898,1,3.65,247941
Polonnaruwa,2008,Maha,57298,5223,263014,1,4.59,239437
Trincomalee,2008,Maha,23014,4463,95236,1,4.14,67534
Batticaloa,2008,Maha,45905,3639,147278,1,3.21,55020
Ampara,2008,Maha,69979,5158,337390,1,4.82,299533
Hambantota,2008,Maha,25575,5295,117115,1,4.58,99879
Colombo,2008,Yala,3832,3172,10269,0,2.68,2498
Gampaha,2008,Yala,7501,3243,20592,0,2.75,7441
Kalutara,2008,Yala,12368,2743,27454,0,2.22,20079
Galle,2008,Yala,14130,3027,32005,0,2.26,14908
Matara,2008,Yala,15975,3755,47167,0,2.95,38441
Ratnapura,2008,Yala,11331,3556,33882,0,2.99,24701
Kegalle,2008,Yala,7431,3323,23111,0,3.11,15566
Kurunegala,2008,Yala,68912,3148,214632,0,3.11,85542
Puttalam,2008,Yala,14484,3746,45184,0,3.12,18373
Kandy,2008,Yala,11629,3895,35782,0,3.08,24856
Matale,2008,Yala,11960,3784,40409,0,3.38,20304
